Direction;Lane;Vehicle class;Index;AvgWait
left;2;car;0;0
right;2;bike;0;1.9
right;1;car;0;4.8
right;1;bike;1;0
left;2;truck;1;5.5
left;2;car;2;4.6
left;2;car;3;0
down;1;bike;0;9.0
down;2;bus;0;6.7
down;2;bike;1;2.8
down;1;car;1;0
up;1;car;0;7.9
up;2;truck;0;9.7
up;2;car;1;2.6
up;2;car;2;2.3
right;2;bike;1;7.6
right;2;truck;2;6.1
down;1;bus;2;6.6
down;1;truck;3;5.5
up;1;truck;1;8.6
up;2;bus;3;6.6
up;2;truck;4;6.6
up;2;truck;5;5.4
up;2;car;6;3.2
left;2;car;4;19.3
left;1;bike;0;13.7
right;1;car;2;8.1
right;2;bus;3;9.2
right;2;car;4;5.3
right;2;bike;5;3.9
right;1;car;3;0
down;2;bike;2;12.9
down;1;car;4;9.8
down;2;car;3;8.3
down;2;bus;4;2.9
up;1;bike;2;11.0
up;1;bus;3;5.1
left;2;bike;5;7.2
left;1;car;1;11.2
left;1;car;2;9.4
left;1;bike;3;6.0
left;1;truck;4;4.4
left;1;bike;5;0
down;1;car;5;8.8
down;2;truck;5;1.5
down;1;truck;6;8.3
down;2;bus;6;1.4
down;1;truck;7;8.1
right;1;bus;4;6.7
left;1;bike;6;7.1
left;2;car;6;2.5
left;1;truck;7;0
left;1;car;8;1.1
left;1;bike;9;0
down;1;car;8;8.8
down;2;bus;7;4.6
down;1;bike;9;4.4
down;2;bike;8;2.6
down;1;car;10;0.8
left;1;truck;10;1.2
left;1;bike;11;1.5
down;2;bike;9;5.8
down;1;bus;11;1.6
down;1;car;12;0.6
left;1;car;12;6.0
left;2;bus;7;4.1
left;1;bike;13;0.8
down;1;bike;13;5.8
right;1;truck;5;11.2
right;2;bus;6;10.0
right;1;truck;6;4.5
right;2;car;7;3.3
right;2;bike;8;0
up;2;car;7;38.1
up;1;truck;4;10.5
up;2;bus;8;34.5
up;1;car;5;3.5
up;1;bus;6;1.1
up;2;car;9;0
left;1;bike;14;8.1
left;2;bus;8;12.6
left;1;bike;15;7.3
left;1;car;16;5.9
left;2;bus;9;0.9
up;1;bike;7;5.8
right;1;car;7;8.3
right;2;truck;9;10.7
right;2;bike;10;4.7
right;2;bus;11;2.4
right;1;car;8;0
down;2;car;10;18.8
down;1;bike;14;9.8
down;2;bike;11;9.3
down;2;bike;12;5.7
down;2;car;13;3.2
left;1;car;17;0.5
left;2;car;10;7.0
left;2;truck;11;3.8
left;2;bus;12;2.2
up;2;truck;10;8.4
